Planet Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Discovery Year,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Star Age (Gyr)
OGLE-TR-10 b,-0.8501221753374597,1.7955770160303923,1.0806264290886591,1.4345940247652225,-1.611105530372204,1.3339366162304507,-0.7040921467532483,1.6175585073727101,-0.06353685728875065,0.6545075542501027,0.7305394479027609,0.188,0.44098384312969086,-0.3402676314701552,1.674203182888111,1.2506181458354877,-1.1831303862227167,-2.3042941306181985,2.177865462924018,3.0530215774210903,-0.2721781592978959,0.0,0.053222380169948263,-1.3093909717552084,1.7263148527257188,-0.3825125512959829,1.9149902610291394,-1.9224172840881375,0.0,0.0,0.7248452788211286,0.06990359612434302,0.0,0.6766462924927351,1.230933767731801,0.0,-0.8078141979333587
BD-08 2823 c,1.288495411732452,1.649557646858469,-0.43642428791640553,1.3441821770436102,-1.7196994243648953,-1.5473700683928575,-0.7040921467514784,1.7817409151932233,0.01790647676824133,-0.5970301677692388,-0.8442070322610606,-0.625967455100638,-0.643746812448924,0.27552218181151883,-0.5475806533205838,-1.2841274188008458,1.5153031470288716,-1.528675764999282,2.155323140518369,3.050110820169247,-0.2721781592978959,0.0,-1.1489737307788621,-0.9914691976217601,1.246861190797665,1.0464650995735416,0.024980337526646447,-0.005467759905994833,0.0,0.0,-1.1560212254732385,1.1669649230084709,0.0,1.0309725741122568,-1.7416040033047238,0.0,0.7238805869663321
HD 110014 b,1.721657182586895,1.7751036473681034,-0.43642428791640553,1.3375174475639438,1.687316996070217,-0.2729070878394807,-0.7040921467521543,-1.2510631847198617,0.01790647676824133,3.310458385922691,-1.129562601706247,1.8793999999999977,2.963702254890403,-1.606259997863803,1.048430873795503,-1.0051870701397374,0.9493921782388551,-1.528675764999282,2.155323140518369,-0.3277025362164212,-0.2721781592978959,0.0,-0.8732054213042129,-0.9639748772209775,1.4892698468847967,2.0172027399700627,0.024980337526646447,-0.005467759905994833,0.0,0.0,1.9613376871971495,-2.1114223771809364,0.0,-1.607082566761603,1.5860097306680687,0.0,-2.467922546675335
GJ 667 C f,0.05234424036886491,0.6556991337844624,-0.43642428791640553,-1.0319604297943412,0.8386535591264968,0.009578202621359898,-0.7040921467514784,-0.3326772539835563,0.01790647676824133,-1.9592331805522403,-2.0018330872073578,-1.863,0.041734558775617915,-0.9455591674219846,-2.7319604117682057,-1.4558253264493137,1.9002130135161468,-0.8232751891533349,-0.4634911284070809,-0.3277025362164212,3.6742347356252663,0.0,-0.08294325187060243,-1.3772799258031965,1.7041661401941213,-0.28415614392996086,0.024980337526646447,-0.005467759905994833,0.0,0.0,-0.24360615906549238,0.06990359612434302,0.0,0.0002815288750675065,-0.04762501246595955,-1.0,1.9046566025470915
GJ 667 C g,1.3313982406898903,1.3141746057636916,-0.43642428791640553,-0.7283288053634915,0.31173980722383027,0.009578202621359898,-0.7040921467514784,-0.3326772539835563,0.01790647676824133,-1.9592331805522403,-2.0018330872073578,-1.863,0.041734558775617915,-0.9455591674219846,-2.7319604117682057,-1.4558253264493137,1.9002130135161468,-0.8232751891533349,-0.4634911284070809,-0.3277025362164212,3.6742347356252663,0.0,-0.08294325187060243,-1.3772799258031965,1.7041661401941213,-0.28415614392996086,0.024980337526646447,-0.005467759905994833,0.0,0.0,-0.24360615906549238,0.06990359612434302,0.0,0.0002815288750675065,-0.04762501246595955,-1.0,1.9046566025470915
GJ 667 C c,-0.15840961035381693,0.36607485077981444,-0.43642428791640553,-0.847144424229545,0.5183989971746115,0.009578202621359898,-0.7040921467514784,-0.3326772539835563,0.01790647676824133,-1.9592331805522403,-2.0018330872073578,-1.863,0.041734558775617915,-0.9455591674219846,-2.7319604117682057,-1.4558253264493137,1.9002130135161468,-0.8232751891533349,-0.4634911284070809,-0.3277025362164212,3.6742347356252663,0.0,-0.08294325187060243,-1.3772799258031965,1.7041661401941213,-0.28415614392996086,0.024980337526646447,-0.005467759905994833,0.0,0.0,-0.24360615906549238,0.06990359612434302,0.0,0.0002815288750675065,-0.04762501246595955,-1.0,1.9046566025470915
KOI-13 b,-0.8918239352701625,-0.6297809782942619,-0.47436741663367127,1.5676651068782528,0.4594931455625307,2.3291975132226486,-0.7040921467532311,1.4560352504588645,0.007101807815059239,2.350161831104095,3.4336719412742123,0.971,1.0310692159433859,-1.4942437312344046,1.1164869759827354,0.307199262058146,-0.5912647973944687,-1.187983390625689,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,0.43750109808443494,0.7846438326186169,-0.4563406006868909,0.2742885192318032,0.5217017400877252,-0.8009582329290357,0.0,0.0,-0.4885696299729136,0.3362619620322545,0.0,-1.8995972259421305,1.9902612073701618,0.0,-2.1313068915403157
KELT-7 b,-0.8694084755466153,-0.6791378258028552,-1.0915227005599393,1.603020855293284,-1.5692336070207702,2.186547218185519,-0.7040921467530527,1.471818942968676,0.23161646776194963,2.4641527212351853,2.3857776722774777,0.758,1.082254359271474,-1.3777067777797496,-0.15513757249600738,-0.8487851736492732,0.6829531680471165,-0.42679352218399386,2.155323140518369,-0.3277025362164212,-0.2721781592978959,0.0,-1.4981260651034431,0.13986892334007578,0.7302382631411465,-0.4402712913056839,1.1292787196975211,-1.3516901417784526,0.0,0.0,0.08413755641113352,-0.3177684935943011,0.0,-1.8225728708949456,1.829369135254106,0.0,-2.1815208285258167
HATS-61 b,-0.689806721642978,1.386799192858831,-0.36217814583509583,1.3999264070495412,-0.03187521534643042,0.8931065715436816,-0.7040921467532448,1.2512829954915308,1.1283967276448434,0.47275637402955595,0.08606333213543914,0.369,0.968602314371516,1.5206823811367645,1.4413992832440436,0.5868950441865867,-0.8030177581997415,0.25354520764266303,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,-1.560740176634845,-1.2457857806878796,1.0913049215695643,-1.666725572025414,1.2407712021984811,-1.4508745908252227,0.0,0.0,-1.0373902881580237,1.0530648590507186,0.0,-1.7032084672966985,1.5739779062673935,0.0,-0.583039386342936
HATS-63 b,-0.8513109091133595,1.5514094451985814,-0.9054987988682739,1.4077085912791938,-1.3492930146446964,1.1885756510730083,-0.7040921467532483,1.650354841040066,-0.5985864117410076,0.00984141796301835,0.20910020696347809,0.012,0.28067168566901635,1.8251011306737956,0.33461555639230367,0.4972207584210899,-0.7394904598236703,0.25354520764266303,-0.4634911284070809,-0.3277025362164212,-0.2721781592978959,0.0,-1.5396596529744013,-1.2862080235040823,1.1253335575972272,-1.5524756455479738,0.6528671552400958,-0.9210399745625326,0.0,0.0,-1.370723337633547,1.51240762349535,0.0,-0.9082182643259482,0.7776448649331862,0.0,0.02511042569212542
