Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
OGLE-TR-10 b,-1.1831303862227167,2.177865462924018,-0.2721781592978959,0.0532223801699482,-1.3093909717552084,1.7263148527257188,0.0,2
BD-08 2823 c,1.5153031470288716,2.155323140518369,-0.2721781592978959,-1.148973730778862,-0.99146919762176,1.246861190797665,0.0,2
HD 110014 b,0.9493921782388552,2.155323140518369,-0.2721781592978959,-0.8732054213042129,-0.9639748772209776,1.489269846884797,0.0,2
GJ 667 C f,1.9002130135161468,-0.4634911284070809,3.674234735625266,-0.0829432518706024,-1.3772799258031965,1.7041661401941213,-1.0,3
GJ 667 C g,1.9002130135161468,-0.4634911284070809,3.674234735625266,-0.0829432518706024,-1.3772799258031965,1.7041661401941213,-1.0,3
GJ 667 C c,1.9002130135161468,-0.4634911284070809,3.674234735625266,-0.0829432518706024,-1.3772799258031965,1.7041661401941213,-1.0,3
KOI-13 b,-0.5912647973944687,-0.4634911284070809,-0.2721781592978959,0.4375010980844349,0.7846438326186169,-0.4563406006868909,0.0,0
KELT-7 b,0.6829531680471165,2.155323140518369,-0.2721781592978959,-1.4981260651034431,0.1398689233400757,0.7302382631411465,0.0,2
HATS-61 b,-0.8030177581997415,-0.4634911284070809,-0.2721781592978959,-1.560740176634845,-1.2457857806878796,1.0913049215695645,0.0,1
HATS-63 b,-0.7394904598236703,-0.4634911284070809,-0.2721781592978959,-1.539659652974401,-1.2862080235040825,1.1253335575972272,0.0,1
HD 108236 c,1.2728620267227655,2.155323140518369,-0.2721781592978959,-0.8989595177012317,-1.5696551372641128,1.4947183455831117,0.0,2
TOI-1224 b,1.5596005588301345,-0.4634911284070809,-0.2721781592978959,-1.6438986107611322,-1.784303810194381,1.492141138015319,0.0,1
TOI-1224 c,1.5596005588301345,-0.4634911284070809,-0.2721781592978959,-1.6438986107611322,-1.784303810194381,1.492141138015319,0.0,1
HD 48948 b,1.7928221477866624,2.155323140518369,3.6738204122018745,-1.396634159414152,1.6721722610193614,0.5781903601142462,0.0,3
HD 48948 c,1.7928221477866624,2.155323140518369,3.6738204122018745,-1.396634159414152,1.6721722610193614,0.5781903601142462,0.0,3
HD 48948 d,1.7928221477866624,2.155323140518369,3.6738204122018745,-1.396634159414152,1.6721722610193614,0.5781903601142462,0.0,3
WASP-76 b,0.3455498230410506,-0.4634911284070809,-0.2721781592978959,-1.6769520625505103,-0.7516528038057491,0.5160556385911388,0.0,1
OGLE-2014-BLG-0221L b,-0.2772057243027166,-0.4634911284070809,-0.2721781592978959,0.0968794909104603,-1.2754113042911126,-2.4732315505327187,0.0,0
PDS 70 b,0.852071580480477,-0.4634911284070809,-0.2721781592978959,-0.6763641115700798,-1.4566553875595991,1.5754830674765763,0.0,1
bet Pic b,1.7602046866759684,2.155323140518369,-0.2721781592978959,-1.4638752423898225,-1.5664573755897655,1.2999541452575365,0.0,2
51 Eri b,1.6450928077372848,2.155323140518369,-0.2721781592978959,-1.5322630224698632,-0.8587600456721343,0.9333765576574026,0.0,2
VHS J125601.92-125723.9 b,1.840752007784754,-0.4634911284070809,-0.2721781592978959,-0.8387939289940071,-1.0514748969212129,1.5196058607362988,0.0,1
GQ Lup b,0.588875644992623,-0.4634911284070809,-0.2721781592978959,-0.3987996506077765,-1.3856557872261035,1.656887229948351,0.0,1
PDS 70 c,0.852071580480477,-0.4634911284070809,-0.2721781592978959,-0.6763641115700798,-1.4566553875595991,1.5754830674765763,0.0,1
bet Pic c,1.7602046866759684,2.155323140518369,-0.2721781592978959,-1.4638752423898225,-1.5664573755897655,1.2999541452575365,0.0,2
2MASS J12073346-3932539 b,1.275827643246661,-0.4634911284070809,-0.2721781592978959,-0.9350859704774284,-1.4343032587874749,1.4718893799083992,0.0,1
TOI-5704 b,1.0419414371984632,-0.4634911284070809,-0.2721781592978959,-1.0223614050337058,0.6811293132087461,0.6447735993721092,0.0,1
HD 23472 d,1.5406730390944816,2.155323140518369,-0.2721781592978959,-1.5827565160604908,-1.6855268583785905,1.393912288536309,0.0,2
TOI-672 b,1.2502625124941067,-0.4634911284070809,-0.2721781592978959,-1.0349555639430668,-1.4316097541481645,1.4210822514399095,0.0,1
TOI-199 b,0.9365961778148544,-0.4634911284070809,-0.2721781592978959,-1.4909825129325345,-1.6575638602193823,1.353310482023858,0.0,1
TOI-199 c,0.9365961778148544,-0.4634911284070809,-0.2721781592978959,-1.4909825129325345,-1.6575638602193823,1.353310482023858,0.0,1
KELT-18 b,-0.1554567192124127,-0.4634911284070809,-0.2721781592978959,-0.6318453883267882,1.6051304638978627,-0.0394174467559372,0.0,0
TOI-2096 c,1.4380043667935614,-0.4634911284070809,-0.2721781592978959,-1.140373664346103,2.7161231711274207,0.3751588818486123,-1.0,0
HIP 5158 b,1.4050039349201264,2.155323140518369,-0.2721781592978959,-1.70717488759547,-1.2031663910193118,0.6113613947807148,0.0,2
HD 132563 b,0.9135308825540164,2.155323140518369,-0.2721781592978959,-0.5469189888277204,0.6308098858629458,-0.5062546730495592,0.0,2
HD 20794 c,1.90975001521724,2.155323140518369,-0.2721781592978959,-1.6015993912582849,-1.476431412498277,1.2591307487533512,0.0,2
HD 20794 d,1.90975001521724,2.155323140518369,-0.2721781592978959,-1.6015993912582849,-1.476431412498277,1.2591307487533512,0.0,2
CHXR 73 b,0.36719156719588,-0.4634911284070809,-0.2721781592978959,-1.0442641023815764,-1.784303810194381,1.4874195697471235,0.0,1
alf Ari b,1.7549535220626409,2.155323140518369,-0.2721781592978959,-1.6610075319232074,-0.2096460975491758,0.4706334091171634,0.0,2
Kepler-370 c,-1.1228023360797936,-0.4634911284070809,-0.2721781592978959,0.5614088701310668,0.4729851886727906,-0.5332791456500002,0.0,0
Kepler-400 b,-0.2772057243027166,-0.4634911284070809,-0.2721781592978959,0.5313510388191505,0.4519849374706758,-0.5494376346097197,0.0,0
Kepler-221 b,-0.3292757008488719,-0.4634911284070809,-0.2721781592978959,0.6757128486639227,0.7827833582661547,-0.4031573932774774,0.0,0
Kepler-367 c,0.3774993692304201,-0.4634911284070809,-0.2721781592978959,0.6925448755093309,0.9668094568199712,-0.3487356995828124,0.0,0
Kepler-393 c,-0.9724342923032084,-0.4634911284070809,-0.2721781592978959,0.5325841348365505,0.6920873010490383,-0.4646198309882356,0.0,0
Kepler-304 c,-0.4403879640535006,-0.4634911284070809,-0.2721781592978959,0.6184220363164628,0.4556976075107459,-0.5239341461839042,0.0,0
Kepler-360 b,-0.9687844247176656,-0.4634911284070809,-0.2721781592978959,0.4218182343655089,0.6699919824627563,-0.4984076788370738,0.0,0
Kepler-243 c,-0.8173889871170278,-0.4634911284070809,-0.2721781592978959,0.3953632684622553,0.5279286303152634,-0.5569748327823075,0.0,0
Kepler-261 c,-0.143613613144928,-0.4634911284070809,-0.2721781592978959,0.5415915687808056,0.3197985324627879,-0.5991429453937623,0.0,0
