Unnamed: 0,Planet Name,Planet Letter,Host Star Name,Orbital Period,Orbital Eccentricity,Orbital Inclination,Planet Radius (Earth Radii),Planet Density,Equilibrium Temperature,Insolation Flux,Transit Depth,Transit Duration,Star Mass,Effective Temperature,Star Luminosity,Star Radius,Star Age,Metallicity,Distance,Parallax,Proper Motion,Planet Reference Name,Discovery Method,Discovery Year,Discovery Publication Date,Number of Photometric Measurements,Number of RV Measurements,Number of Spectroscopic Measurements,Number of Duplicated Measurements,Right Ascension,Declination,Galactic Longitude,Galactic Latitude,Planet Radius Error (Lower),Planet Radius Error (Upper),Planet Radius Limit,Star Mass Error (Lower),Star Mass Error (Upper),Star Mass Limit,Star Radius Error (Lower),Star Radius Error (Upper),Star Radius Limit,Star Age Error (Lower),Star Age Error (Upper),Star Age Limit,Distance Error (Lower),Distance Error (Upper),Parallax Error (Lower),Parallax Error (Upper),Semi-Major Axis (AU),Star Radius (AU),Star Age (Gyr)
0,OGLE-TR-10 b,b,OGLE-TR-10,0.0532061748049573,0.82,90.0,14.011,0.4,1521.0278370591614,3.3243204112530644e-15,143.40574256702462,3.072,1.14,5950.0,0.188,1.17,3.1,0.28,1344.97,0.72138,5.1852878,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,Transit,2004,2005-05,15,4,0,0,267.8677483,-29.8764758,359.85149,-1.57666,1.569,-1.345,0.0,0.12,-0.05,0.0,0.13,-0.05,0.0,3.3,-0.7,0.0,111.665,-111.665,0.0597319,-0.0597319,0.0434,0.0056723120999999,7.20672369638115
1,BD-08 2823 c,c,BD-08 2823,4.095692827272249,0.19,86.90317161570154,12.5,0.293,239.7872930252741,1.1744270715967736e-11,304.7172206415278,3.184,0.74,4746.0,-0.625967455100638,0.71607995,4.5,-0.07,41.3342,24.1641,376.3791094,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2009,2010-03,1,1,0,0,150.1971964,-9.5165689,248.49513,34.75486,0.27,-0.213,0.0,0.07,-0.07,0.0,0.0162963,-0.0173716,0.0,4.0,-4.0,0.0,0.0685,-0.0682,0.0397137,-0.0397137,0.68,0.0034716486879935,21.22856806863026
2,HD 110014 b,b,HD 110014,13.352748264699736,0.462,86.90317161570154,12.4,10.2,683.9276347934002,7.259538537058153e-12,0.352006593255649,3.184,2.17,4445.0,2.30408167634065,20.9,0.95,0.19,100.758,9.90259,80.7669238,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,Radial Velocity,2009,2009-09,1,0,0,0,189.8111935,-7.9956702,297.69653,54.75208,0.27,-0.213,0.0,0.28,-0.28,0.0,1.1,-1.1,0.0,0.4,-0.4,0.0,1.97315,-1.97315,0.192772,-0.192772,2.14,0.1013259169999999,1.4416195572259567
3,GJ 667 C f,f,GJ 667 C,0.6739222512657552,0.03,86.90317161570154,1.45,4.87,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.33,3350.0,-1.863,0.95,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,0.27,-0.213,0.0,0.02,-0.02,0.0,0.0511945,-0.05,0.0,2.2,-1.9,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.156,0.0046057235,159.8509237426059
4,GJ 667 C g,g,GJ 667 C,4.449194739827424,0.08,86.90317161570154,1.99,3.21,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.33,3350.0,-1.863,0.95,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,0.27,-0.213,0.0,0.02,-0.02,0.0,0.0511945,-0.05,0.0,2.2,-1.9,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.549,0.0046057235,159.8509237426059
5,GJ 667 C c,c,GJ 667 C,0.4833791547251075,0.02,86.90317161570154,1.77,3.77,801.5206150638595,1.1744270715967736e-11,9.32814340390306,3.184,0.33,3350.0,-1.863,0.95,2.0,-0.55,7.24396,138.017,1151.9552244,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>,Radial Velocity,2013,2013-08,0,0,2,0,259.7510609,-34.9977651,351.84167,1.41002,0.27,-0.213,0.0,0.02,-0.02,0.0,0.0511945,-0.05,0.0,2.2,-1.9,-1.0,0.00486,-0.00485,0.0918438,-0.0918438,0.125,0.0046057235,159.8509237426059
6,KOI-13 b,b,KOI-13,0.0332848545360121,0.00064,86.77,16.948,3.6,2603.7414109706133,1.1526410617241264e-13,94.8720782137667,3.16877,1.72,7650.0,0.971,1.74,1.12,0.2,519.096,1.9053,16.381947,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Transit,2011,2011-07,0,0,0,0,286.9713876,46.8682463,77.5059,16.80645,0.392,-0.392,0.0,0.1,-0.1,0.0,0.04,-0.04,0.0,0.13,-0.07,0.0,30.703,-27.506,0.105052,-0.105052,0.03641,0.0084357462,2.5773825434796627
7,KELT-7 b,b,KELT-7,0.043935907004398,0.0,83.76,17.934,0.442,2133.5676314995067,1.297845907890883e-12,98.1741570770123,3.5112,1.76,6768.0,0.758,1.81,1.3,0.0,136.681,7.28791,50.8996424,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Transit,2015,2015-07,1,0,0,0,78.2955912,33.3179532,172.51277,-3.36514,0.673,-0.673,0.0,0.25,-0.25,0.0,0.07,-0.07,0.0,0.2,-0.2,0.0,0.938,-0.924,0.0494622,-0.0494622,0.04415,0.0087751153,2.4334270449522504
8,HATS-61 b,b,HATS-61,0.13445222127876,0.092,87.15,13.395,2.47,1250.1420564140578,2.554371732472469e-14,65.11323305269269,5.5296,1.08,5542.0,0.369,1.66,8.9,0.247,679.761,1.44214,10.6687361,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit,2018,2019-02,0,0,0,0,61.6578005,-25.3496674,222.08862,-46.47071,0.751,-0.751,0.0,0.01,-0.01,0.0,0.02,-0.02,0.0,0.31,-0.41,0.0,8.732,-8.518,0.0185269,-0.0185269,0.07908,0.0080478958,8.249746644799178
9,HATS-63 b,b,HATS-63,0.0526319002029523,0.136,84.86,13.529,0.67,1428.2493965278318,9.882162232365472e-16,159.86884531400122,2.448,0.93,5627.0,0.012,1.07,10.3,0.081,623.232,1.5756,17.7745928,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Transit,2018,2019-02,0,0,0,0,67.418582,-28.1972149,227.5666,-42.08891,0.437,-0.437,0.0,0.02,-0.02,0.0,0.01,-0.01,0.0,1.1,-1.1,0.0,6.092,-5.977,0.0154207,-0.0154207,0.04026,0.0051874991,11.98926690635247
10,HD 108236 c,c,HD 108236,0.1039938786373312,0.034,88.3,2.071,3.06,1049.8664393420595,162.167509425773,5.538534349173554,2.86,0.87,5660.0,-0.15,0.88,6.7,-0.28,64.5978,15.4517,86.2990183,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,Transit,2020,2021-02,1,0,0,0,186.5740627,-51.3630519,298.93443,11.31345,0.052,-0.052,0.0,0.05,-0.05,0.0,0.01,-0.01,0.0,4.0,-5.1,0.0,0.1943,-0.1932,0.0460761,-0.0460761,0.062,0.0042663544,14.164520211887895
